sqft,bedrooms,bathrooms,year_built,price,age
1517,3,2.0,1919,115000,107
1844,3,2.0,1977,190000,49
1855,4,2.0,1954,136900,72
1430,3,2.5,2000,180000,26
2696,4,2.5,2007,383970,19
2259,3,2.0,1953,217000,73
2320,3,2.5,1945,259500,81
1458,2,2.5,1999,176000,27
1092,3,1.0,1962,139000,64
1125,2,1.5,2006,155000,20
3222,5,3.0,1990,320000,36
1456,3,2.5,2005,163990,21
988,1,1.0,1969,180000,57
1123,3,1.0,1939,100000,87
1080,3,1.0,1958,136000,68
1199,2,2.0,1993,153900,33
1586,3,2.0,1979,181000,47
754,2,1.0,1935,84500,91
958,2,2.0,1976,128000,50
840,3,1.0,1930,87000,96
1348,3,1.5,1966,155000,60
1053,3,1.5,1958,150000,68
2157,4,2.5,1966,226000,60
2054,3,2.5,2000,244000,26
1327,3,1.0,1959,150750,67
1296,2,2.0,2001,220000,25
1721,3,2.5,1968,180000,58
1682,3,2.0,1970,174000,56
1214,3,2.0,1967,143000,59
1959,5,3.0,1988,171000,38
1852,3,2.5,1999,230000,27
1764,3,2.5,1997,231500,29
864,3,1.0,1971,115000,55
1734,3,2.0,2005,260000,21
1385,4,2.0,1952,166000,74
1501,3,2.0,1999,204000,27
1728,6,2.0,1963,125000,63
1709,3,2.0,2004,130000,22
875,2,1.0,1931,105000,95
2035,3,2.5,2001,222500,25
1080,3,1.0,2004,141000,22
1344,3,1.0,1936,115000,90
969,3,1.5,1975,122000,51
1710,2,2.0,2007,372402,19
1993,4,2.5,1971,190000,55
1252,1,1.0,1960,235000,66
1200,4,1.0,1923,125000,103
1096,2,1.0,1924,79000,102
1040,2,1.0,1950,109500,76
1968,4,2.5,2009,269500,17
1947,3,2.5,2004,254900,22
2462,4,2.5,2005,320000,21
1232,3,2.0,1984,162500,42
2668,3,2.5,2003,412500,23
1541,3,2.0,2005,220000,21
882,1,1.0,1956,103200,70
1616,3,2.0,1926,152000,100
1355,4,2.0,1940,127500,86
1867,2,1.0,1955,190000,71
2161,3,1.5,2007,325624,19
1720,3,2.5,2004,183500,22
1707,2,2.5,1981,228000,45
1382,2,1.5,1941,128500,85
1656,3,1.0,1960,215000,66
1767,2,2.0,1987,239000,39
1362,3,1.5,1961,163000,65
1651,3,2.0,1986,184000,40
2158,4,2.0,1950,243000,76
2060,4,2.5,1988,211000,38
1920,4,2.0,1958,172500,68
2234,1,2.0,2008,501837,18
968,2,1.0,1923,100000,103
1525,3,2.5,2000,177000,26
1802,4,1.5,1920,200100,106
1340,3,1.0,1957,120000,69
2082,3,2.5,2003,200000,23
1252,3,1.0,1908,127000,118
3608,4,2.5,1892,475000,134
1217,3,2.0,1990,173000,36
1656,3,2.5,1916,135000,110
1224,2,1.0,1979,153337,47
1593,0,1.5,2001,286000,25
2727,3,2.5,1932,315000,94
1479,4,1.5,1972,184000,54
1431,3,2.0,1999,192000,27
1709,3,2.0,2004,130000,22
864,3,1.0,1972,127000,54
1456,3,2.5,1976,148500,50
1726,3,2.0,2007,311872,19
3112,4,2.0,1918,235000,108
2229,5,1.0,1912,104000,114
1713,3,2.0,2004,274900,22
1121,2,2.0,2003,140000,23
1279,3,2.0,1977,171500,49
1310,2,2.0,1924,112000,102
848,1,1.0,2004,149000,22
1284,2,1.5,1947,110000,79
1442,3,2.0,1990,180500,36
1696,3,1.5,1962,143900,64
1100,3,1.0,1960,141000,66
2062,3,2.5,1988,277000,38
1092,3,1.0,1964,145000,62
864,2,1.0,1925,98000,101
1212,3,2.0,2009,186000,17
1852,3,2.5,2009,252678,17
990,3,1.0,1995,156000,31
1392,3,1.5,1977,161750,49
1236,2,1.0,1957,134450,69
1436,3,2.0,2004,210000,22
1328,3,1.0,1925,107000,101
1954,3,1.5,1939,311500,87
1248,2,2.0,2005,167240,21
1498,2,2.0,2006,204900,20
2267,4,2.5,2002,200000,24
1552,3,2.5,1975,179900,51
864,2,1.0,1971,97000,55
2392,3,2.0,2003,386250,23
1302,3,2.5,1971,112000,55
2520,4,2.5,1995,290000,31
987,2,1.5,1970,106000,56
912,3,1.0,1967,125000,59
1555,2,2.0,2005,192500,21
1194,3,1.0,1959,148000,67
2794,4,2.5,1995,403000,31
987,2,1.5,1972,94500,54
894,3,1.0,1976,128200,50
1960,4,2.5,2002,216500,24
987,2,1.5,1971,89500,55
1414,3,2.0,2004,185500,22
1744,3,2.5,1993,194500,33
1694,3,2.0,2007,318000,19
1487,3,1.5,1945,113000,81
1566,3,2.0,2008,262500,18
866,2,1.0,1945,110500,81
1440,3,1.0,1900,79000,126
1217,3,1.5,1980,120000,46
2110,3,2.5,1994,205000,32
1872,3,2.0,1988,241500,38
1928,4,2.0,1910,137000,116
1375,2,1.0,1954,140000,72
1668,3,2.5,2003,180000,23
2144,4,2.0,1958,277000,68
1306,3,1.0,1940,76500,86
1625,2,2.0,2006,235000,20
1640,3,2.5,2004,173000,22
1302,3,2.0,1964,158000,62
1314,3,1.0,1957,145000,69
2291,4,2.5,1999,230000,27
1728,3,2.5,2003,207500,23
1604,3,2.5,2006,220000,20
1792,3,2.5,2001,231500,25
882,2,1.0,1956,97000,70
1382,3,1.0,1962,176000,64
2574,3,2.5,2007,276000,19
1212,3,1.0,1977,151000,49
1316,3,1.0,1929,130000,97
764,2,1.0,1925,73000,101
1422,3,2.0,1981,175500,45
1511,3,2.5,1997,185000,29
2192,4,2.5,1939,179500,87
778,2,1.0,1940,120500,86
1113,3,1.5,1976,148000,50
1939,3,2.5,2006,266000,20
1363,2,1.0,1954,241500,72
2270,4,2.5,1999,290000,27
1632,3,2.0,1958,139000,68
816,2,1.0,1982,124500,44
1548,3,2.5,1925,205000,101
1560,3,2.0,2003,201000,23
864,2,1.0,1951,141000,75
2121,3,2.5,2006,415298,20
2022,4,2.5,1977,192000,49
1982,3,2.5,1989,228500,37
1262,2,2.0,2006,185000,20
1314,2,2.0,2007,207500,19
1468,3,2.0,2008,244600,18
1575,2,2.0,1992,179200,34
1250,2,2.5,2006,164700,20
1734,3,1.5,1962,159000,64
858,3,1.0,1971,88000,55
900,3,1.0,1967,122000,59
1396,3,1.0,1915,153575,111
1919,3,2.5,2006,233230,20
1716,6,2.0,1912,135900,114
1716,3,1.5,1949,131000,77
2263,3,2.5,1977,235000,49
1644,3,1.0,1953,167000,73
1003,3,1.0,1984,142500,42
1558,4,1.5,1950,152000,76
1950,3,2.5,1997,239000,29
1743,3,2.0,1968,175000,58
1152,3,1.0,1950,158500,76
1336,2,1.0,1953,157000,73
2452,4,2.5,1998,267000,28
1541,3,2.0,2001,205000,25
894,3,1.0,1972,149900,54
3493,3,3.0,1880,295000,146
2000,3,2.0,2004,305900,22
2243,4,2.5,1990,225000,36
1406,3,1.0,1920,89500,106
861,1,1.0,1940,82500,86
1944,3,2.0,2003,360000,23
1501,3,2.5,1993,165600,33
972,2,1.0,1948,132000,78
1118,3,1.0,1939,119900,87
2036,3,2.0,1965,375000,61
1641,3,1.5,1925,178000,101
1432,3,2.5,2004,188500,22
2353,4,2.5,1980,260000,46
1959,3,2.5,2006,270000,20
2646,4,2.5,1993,260000,33
1472,3,2.0,1980,187500,46
2596,4,3.5,2006,342643,20
2468,4,2.5,2004,354000,22
2730,4,2.5,1986,301000,40
1163,3,1.0,1955,126175,71
2978,5,2.5,1967,242000,59
803,2,1.0,1941,87000,85
1719,1,1.5,1993,324000,33
1383,3,1.5,1960,145250,66
2134,5,2.0,1916,214500,110
1192,3,1.0,1920,78000,106
1728,6,2.0,1964,119000,62
1056,3,1.0,1958,139000,68
1629,3,2.0,2003,284000,23
1358,2,2.0,2004,207000,22
1638,3,2.5,1998,192000,28
1786,3,2.0,1965,228950,61
1922,3,2.0,2005,377426,21
1536,3,2.0,2002,214000,24
1621,3,2.0,1984,202500,42
1215,3,1.0,1958,155000,68
1908,4,2.5,2002,202900,24
841,2,1.0,1950,82000,76
1040,2,2.0,1949,87500,77
1684,2,2.0,2005,266000,21
1112,3,1.5,1976,85000,50
1577,3,1.0,1939,140200,87
958,2,1.0,1960,151500,66
1478,3,2.0,1960,157500,66
1626,2,2.5,2003,154000,23
2728,4,2.5,2005,437154,21
1869,2,2.0,2007,318061,19
1453,2,1.5,1986,190000,40
1111,3,1.0,1941,95000,85
720,2,1.0,1928,105900,98
1595,2,1.0,1940,140000,86
1200,3,2.0,1995,177500,31
1167,3,2.0,1992,173000,34
1142,3,1.5,1976,134000,50
1352,3,1.0,1958,130000,68
1924,3,2.5,1998,280000,28
912,2,1.0,1978,156000,48
1505,3,1.0,1940,145000,86
1922,4,3.0,2003,198500,23
987,2,1.5,1972,118000,54
1574,3,2.5,1976,190000,50
1344,3,1.0,1920,147000,106
1394,3,1.5,1963,159000,63
1431,3,1.0,1962,165000,64
1268,2,1.0,1954,132000,72
1287,3,1.0,1959,162000,67
1664,3,2.5,2000,172400,26
1588,4,2.0,1959,134432,67
752,2,1.0,1984,125000,42
1319,3,1.0,1953,123000,73
1928,4,2.5,2003,219500,23
904,1,0.5,1922,61000,104
914,2,1.0,1996,148000,30
2466,4,3.0,2004,340000,22
1856,1,1.5,2010,394432,16
1800,3,2.5,2000,179000,26
1691,3,2.0,1924,127000,102
1301,2,2.0,2006,187750,20
1797,3,2.5,2006,213500,20
784,2,1.0,1928,76000,98
1953,3,2.5,1992,240000,34
1269,2,2.0,2004,192000,22
1184,5,1.0,1910,81000,116
1125,3,1.0,1976,125000,50
1479,3,2.0,1999,191000,27
2332,3,2.5,2007,426000,19
1367,4,1.0,1900,119000,126
1961,3,2.5,2001,215000,25
882,3,1.0,1959,106500,67
788,2,1.0,1941,100000,85
1034,2,1.0,1940,109000,86
1144,3,1.0,1956,129000,70
894,2,1.0,1972,123000,54
1812,4,2.0,1962,169500,64
1077,2,1.0,1920,67000,106
1550,2,2.0,2006,241000,20
1288,1,1.5,1996,245500,30
1310,3,2.0,2005,164990,21
672,2,1.0,1940,108000,86
2263,4,2.5,1998,258000,28
1572,3,2.5,1995,168000,31
1620,3,2.0,1976,150000,50
1639,3,1.0,1936,115000,90
1680,4,2.0,1915,177000,111
2172,3,2.5,2006,280000,20
2078,3,2.5,2007,339750,19
1276,3,1.0,1958,60000,68
1056,3,1.0,1955,145000,71
1478,2,2.5,2009,222000,17
1028,2,1.0,1927,115000,99
2097,3,2.5,1993,228000,33
1340,3,2.0,2007,181134,19
1400,3,1.5,1978,149500,48
2624,4,2.5,1918,239000,108
1134,3,1.5,1940,126000,86
1056,3,1.0,1968,142000,58
1344,2,2.0,1997,206300,29
1602,3,2.0,1977,215000,49
988,2,1.0,1954,113000,72
2630,4,2.5,1998,315000,28
1196,2,1.0,1956,139000,70
1389,3,1.5,1946,135000,80
1644,2,2.0,1989,275000,37
907,3,1.0,1957,109008,69
1208,2,2.0,2007,195400,19
1412,3,2.0,1988,175000,38
987,2,1.5,1971,85400,55
1198,4,1.0,1920,79900,106
1365,2,1.5,1971,122500,55
1604,3,2.5,1997,181000,29
630,1,1.0,1972,81000,54
1661,3,2.5,1996,212000,30
1118,2,1.0,1920,116000,106
904,2,1.0,1926,119000,100
694,2,1.0,1913,90350,113
1196,3,1.0,1920,110000,106
2402,2,2.0,2008,555000,18
1440,4,2.0,1955,118000,71
1573,3,2.0,1930,162900,96
1258,2,2.0,2006,172500,20
1908,4,2.5,1994,210000,32
1689,3,1.0,1956,127500,70
1888,2,2.5,1966,190000,60
1886,4,2.5,1998,199900,28
1376,3,2.0,1937,119500,89
1183,2,1.5,1948,120000,78
813,2,1.0,1930,110000,96
1533,2,2.0,1975,280000,51
1756,3,2.5,1996,204000,30
1590,3,2.5,2008,210000,18
1728,4,2.0,1976,188000,50
1242,3,1.5,1973,175500,53
1344,4,1.0,1916,98000,110
1663,2,1.0,1954,256000,72
1666,3,1.0,1925,161000,101
1203,3,1.0,1950,110000,76
1935,3,2.5,2009,263435,17
1135,3,1.0,1936,155000,90
864,3,1.0,1965,62383,61
1660,3,1.5,1934,188700,92
1040,3,2.0,1978,124000,48
1414,2,2.0,2004,178740,22
1277,2,1.0,1970,167000,56
1644,3,1.5,1942,146500,84
1634,3,2.0,2006,250000,20
1710,3,2.5,1993,187000,33
1502,1,1.5,1985,212000,41
1969,3,2.5,1977,190000,49
1072,2,1.0,2005,148000,21
1976,2,2.0,2006,440000,20
1652,2,2.0,2000,251000,26
970,2,1.0,1963,132500,63
1493,3,2.0,1997,208900,29
2643,3,2.5,2006,380000,20
1718,3,2.0,2007,297000,19
1131,2,1.0,1937,89471,89
1850,3,2.0,2004,326000,22
1792,2,2.0,2003,374000,23
1826,4,1.5,1915,155000,111
1216,2,2.0,1998,164000,28
999,3,1.0,1962,132500,64
1113,3,1.0,1950,147000,76
1073,3,1.5,1965,156000,61
1484,3,2.0,1971,175000,55
2414,3,2.0,1900,160000,126
630,1,1.0,1970,86000,56
1304,3,1.5,1976,115000,50
1578,3,1.0,1941,133000,85
1456,3,2.5,2006,172785,20
1269,3,1.5,1960,155000,66
886,2,1.0,1938,91300,88
720,2,1.0,1920,34900,106
3228,4,3.0,1992,430000,34
1820,4,2.0,1925,184000,101
899,3,1.0,1967,130000,59
912,2,1.0,1958,120000,68
1218,3,1.5,1973,113000,53
1768,3,2.5,2005,226700,21
1214,2,1.0,1965,140000,61
1801,1,2.0,1959,289000,67
1322,3,2.5,1974,147000,52
1960,4,2.0,1952,124500,74
1911,3,2.5,1993,215000,33
1218,2,2.0,2009,208300,17
1378,3,2.0,1928,161000,98
1041,3,1.0,1959,124500,67
1363,2,1.0,1951,164900,75
1368,2,2.0,2005,202665,21
864,3,1.0,1958,129900,68
1080,3,1.5,1983,134000,43
789,2,1.0,1926,96500,100
2020,3,2.5,2009,402861,17
2119,3,2.5,1972,158000,54
2344,3,2.5,1996,265000,30
1796,3,2.5,1998,211000,28
2080,3,1.5,1926,234000,100
1294,3,2.0,1900,106250,126
1244,3,1.5,1957,150000,69
1664,3,2.0,1947,159000,79
4676,3,3.5,2007,184750,19
2398,3,2.5,1996,315750,30
1266,3,2.0,2005,176000,21
928,2,1.0,1956,132000,70
2713,3,2.5,2008,446261,18
605,2,1.0,1920,86000,106
2515,4,3.0,1957,200624,69
1509,3,2.0,1988,175000,38
1362,3,2.0,1920,128000,106
827,2,1.0,1955,107500,71
334,1,1.0,1946,39300,80
1414,3,2.5,2004,178000,22
1347,3,1.0,1910,107500,116
1724,3,2.5,1998,188000,28
864,3,1.0,1972,111250,54
1159,3,1.5,1968,158000,58
1601,3,2.0,2001,272000,25
1838,2,2.0,2006,315000,20
2285,4,2.5,2000,248000,26
1680,3,2.0,1998,213250,28
767,1,1.0,1998,133000,28
1496,3,2.5,2006,179665,20
2183,4,2.5,1988,229000,38
1635,3,1.5,1923,210000,103
768,2,1.0,1970,129500,56
825,2,1.0,1955,125000,71
2094,4,2.5,2003,263000,23
1069,2,2.0,1977,140000,49
928,3,1.0,1957,112500,69
1717,3,2.0,2006,255500,20
1126,2,2.0,1949,108000,77
2046,3,2.5,2003,284000,23
1048,2,1.0,1922,113000,104
1092,2,1.0,1957,141000,69
1336,3,1.5,1920,108000,106
1446,3,2.5,1996,175000,30
1557,2,2.0,2003,234000,23
1392,3,1.5,1957,121500,69
1389,2,1.0,1974,170000,52
996,3,1.0,1940,108000,86
1674,4,2.0,1918,185000,108
2295,4,2.5,1992,268000,34
1647,4,1.5,1915,128000,111
2504,4,2.5,2005,325000,21
1535,3,2.0,2004,214000,22
2132,1,1.5,1983,316600,43
943,2,1.0,1979,135960,47
1728,6,2.0,1965,142600,61
864,2,1.0,1959,120000,67
1692,3,2.5,2009,224500,17
1430,3,2.5,2000,170000,26
1109,3,1.0,1971,139000,55
1216,2,1.0,1947,118500,79
1477,3,2.0,1928,145000,98
1320,3,1.0,1966,164500,60
1392,2,2.0,2007,146000,19
1795,4,2.0,1954,131500,72
1429,3,1.0,1960,181900,66
2042,3,2.5,2008,253293,18
816,3,1.0,1990,118500,36
2775,3,3.5,1893,325000,133
1573,3,1.0,1935,133000,91
2028,2,2.0,2005,369900,21
838,2,1.0,1918,130000,108
860,2,1.0,1982,137000,44
1473,1,1.0,1968,143000,58
935,2,1.0,1930,79500,96
1582,3,2.5,2004,185900,22
2296,3,2.5,2008,451950,18
816,2,1.0,1982,138000,44
848,1,1.0,2003,140000,23
924,3,1.0,1975,110000,51
1826,3,2.0,2005,319000,21
1368,3,1.0,1910,114504,116
1402,2,1.0,2006,194201,20
1647,3,2.0,1977,217500,49
1556,3,2.5,1980,151000,46
1904,3,2.5,2005,275000,21
1375,3,1.5,1937,141000,89
1915,3,2.5,1992,220000,34
1200,2,2.5,2004,151000,22
1494,3,2.0,2002,221000,24
1986,3,2.5,1965,205000,61
1040,3,1.0,1996,152000,30
2008,3,3.0,1948,225000,78
3194,4,2.5,1934,359100,92
1029,3,1.0,1961,118500,65
2153,3,2.5,2000,313000,26
1032,3,2.0,1978,148000,48
1872,3,2.5,2001,261500,25
1120,3,1.0,2007,147000,19
630,1,1.0,1972,75500,54
1054,3,1.0,1963,137500,63
1509,3,2.5,2002,183200,24
832,2,1.0,1954,105500,72
1828,3,2.0,2007,314813,19
2262,4,2.5,2003,305000,23
864,2,1.0,1914,67000,112
2614,4,2.5,1974,240000,52
980,3,1.0,1977,135000,49
1512,2,2.5,2000,168500,26
1790,4,2.0,1972,165150,54
1116,3,1.5,1962,160000,64
1422,3,1.0,1960,139900,66
1520,3,1.0,1955,153000,71
2080,5,2.0,1969,135000,57
1350,3,1.5,1964,168500,62
1750,3,1.0,1880,124000,146
1554,2,2.0,2006,209500,20
1411,3,2.0,1977,82500,49
1056,3,1.0,1954,139400,72
1056,0,0.0,1980,144000,46
3395,8,2.0,1914,200000,112
800,1,1.0,1936,60000,90
1387,3,2.0,1954,93000,72
796,2,1.0,1910,85000,116
1567,1,2.0,2006,264561,20
1518,1,1.5,2003,274000,23
1929,3,2.5,2001,226000,25
2704,4,2.5,1972,345000,54
1620,4,2.5,1969,152000,57
1766,2,2.5,2009,370878,17
981,3,1.5,1971,143250,55
1048,3,1.0,1950,98300,76
1094,3,1.0,1953,155000,73
1839,4,1.5,1966,155000,60
630,1,1.0,1970,84500,56
1665,3,2.5,2007,205950,19
1510,4,1.0,1940,108000,86
1716,2,2.5,1996,191000,30
1469,3,1.0,1906,135000,120
2113,2,2.5,1995,350000,31
1092,3,1.5,1971,88000,55
1053,3,1.5,1959,145500,67
1502,3,1.5,1931,149000,95
1458,3,1.0,1948,97500,78
1486,3,1.0,1964,167000,62
1935,3,2.5,1976,197900,50
2448,4,2.5,1994,402000,32
1392,2,1.0,1968,110000,58
1181,3,2.0,1972,137500,54
2097,1,1.5,2005,423000,21
1936,3,2.5,2000,230500,26
2380,3,2.5,1965,129000,61
1679,3,2.0,1994,193500,32
1437,3,1.5,1956,168000,70
1180,2,1.0,1922,137500,104
1476,3,2.5,2005,173500,21
1369,3,2.0,1925,103600,101
1208,3,1.5,1977,165000,49
1839,3,2.0,1957,257500,69
1136,3,1.0,1965,140000,61
1441,3,2.5,1978,148500,48
1774,4,2.0,1900,87000,126
792,2,1.0,1924,109500,102
2046,3,2.5,2008,372500,18
988,3,1.0,1961,128500,65
923,2,2.0,1980,143000,46
1520,3,1.0,1932,159434,94
1291,2,1.0,1996,173000,30
1668,3,2.0,2002,285000,24
1839,4,2.5,1998,221000,28
2090,3,2.0,1984,207500,42
1761,3,3.0,2007,227875,19
1102,2,2.5,2004,148800,22
1419,2,2.0,2007,392000,19
1362,2,2.0,2005,194700,21
848,1,1.0,2004,141000,22
4316,4,3.5,1994,755000,32
2519,4,2.5,1989,335000,37
1073,2,1.0,1921,108480,105
1539,3,1.5,1936,141500,90
1137,2,2.0,1987,176000,39
616,2,1.0,1921,89000,105
1148,2,1.0,1952,123500,74
894,3,1.0,1965,138500,61
1391,2,2.0,2004,196000,22
1800,3,2.0,2002,312500,24
1164,3,1.5,1969,140000,57
2576,4,2.5,2006,361919,20
1812,4,2.0,1900,140000,126
1484,3,2.0,2004,213000,22
1092,3,2.0,1930,55000,96
1824,2,2.0,1971,302000,55
1324,2,2.0,2006,254000,20
1456,3,2.5,2007,179540,19
904,3,1.0,1966,109900,60
729,2,1.0,1935,52000,91
1178,2,1.0,1900,102776,126
1228,2,2.0,1988,189000,38
960,3,1.0,1970,129000,56
1479,3,2.5,1976,130500,50
1350,3,2.0,1974,165000,52
2554,3,1.5,1890,159500,136
1178,3,1.5,1973,157000,53
2418,3,2.5,1993,341000,33
971,3,1.5,1969,128500,57
1742,2,2.0,1985,275000,41
848,1,1.0,2004,143000,22
864,3,1.0,1970,124500,56
1470,4,2.0,1954,135000,72
1698,3,2.0,2007,320000,19
864,3,1.0,1970,120500,56
1680,3,2.0,1988,222000,38
1232,2,2.0,2007,194500,19
1776,4,2.0,1958,110000,68
1208,2,1.0,1925,103000,101
1616,2,2.0,1995,236500,31
1146,3,2.0,2003,187500,23
2031,3,2.5,1998,222500,28
1144,3,1.0,1961,131400,65
948,3,1.0,1968,108000,58
1768,2,1.5,1914,163000,112
1040,2,2.0,1950,93500,76
1801,3,2.5,2005,239900,21
1200,3,3.0,1987,179000,39
1728,3,2.5,2004,190000,22
1432,2,2.0,1910,132000,116
912,3,1.0,1961,142000,65
1349,3,2.0,2000,179000,26
1464,3,2.0,1963,175000,63
1337,2,2.0,1993,180000,33
2715,4,3.5,1976,299800,50
2256,4,2.5,2000,236000,26
2640,4,1.5,1880,265979,146
1720,3,2.0,1996,260400,30
1529,4,2.0,1945,98000,81
1140,3,1.0,1910,96500,116
1320,3,2.5,2003,162000,23
1494,3,2.0,1997,217000,29
2098,3,2.5,2005,275500,21
1026,3,1.0,1969,156000,57
1471,3,2.5,1999,172500,27
1768,3,2.5,2007,212000,19
1386,3,2.5,1978,158900,48
1501,3,2.5,1999,179400,27
2531,4,2.5,1995,290000,31
864,2,1.0,1959,127500,67
1301,2,1.0,1924,100000,102
1547,3,2.5,2009,215200,17
2365,3,2.5,1999,337000,27
1494,2,1.5,1995,270000,31
1506,2,2.0,2008,264132,18
1714,3,2.5,1988,196500,38
1750,4,2.0,1940,160000,86
1836,3,2.0,2004,216837,22
3279,4,3.5,2003,538000,23
858,2,1.0,1982,134900,44
1220,2,1.0,1951,102000,75
1117,3,1.0,1976,107000,50
912,2,1.0,1958,114500,68
1973,3,2.0,2006,395000,20
1204,2,2.0,1998,162000,28
1614,3,2.0,2005,221500,21
894,3,1.0,1974,142500,52
2020,4,2.0,1977,144000,49
1004,2,1.0,1977,135000,49
1253,3,2.0,1995,176000,31
1603,3,2.5,1992,175900,34
1430,3,2.0,2001,187100,25
1110,1,1.0,1978,165500,48
1484,3,2.0,1914,128000,112
1342,3,2.0,1967,161500,59
1652,4,2.0,1915,139000,111
2084,4,2.5,2004,233000,22
901,2,1.0,1954,107900,72
2087,5,2.5,1966,187500,60
1145,2,2.0,2005,160200,21
1062,3,1.0,1976,146800,50
2013,3,2.5,1996,269790,30
1496,3,2.0,2007,225000,19
1895,3,2.5,1994,194500,32
1564,3,2.5,1980,171000,46
1285,3,1.5,1977,143500,49
773,2,1.0,1953,110000,73
3140,4,3.5,2008,485000,18
1768,3,1.5,1937,175000,89
1688,4,2.5,1997,200000,29
1196,2,1.0,1916,109900,110
1456,3,2.5,2005,189000,21
2822,4,3.5,2008,582933,18
1128,2,1.0,1954,118000,72
1428,3,2.0,2008,227680,18
980,3,2.0,1967,135500,59
1576,3,1.5,1923,223500,103
1086,3,1.0,1966,159950,60
2138,2,2.0,1898,106000,128
1309,3,1.5,1974,181000,52
848,1,1.0,2004,144500,22
1044,2,1.0,1952,55993,74
1442,4,1.5,1958,157900,68
1250,3,1.5,1918,116000,108
1661,3,2.0,1998,224900,28
1008,2,1.0,1954,137000,72
1689,3,2.0,2002,271000,24
1052,3,1.0,1971,155000,55
1358,2,2.0,2009,224000,17
1640,3,2.5,2003,183000,23
936,2,1.0,1953,93000,73
1733,3,2.5,2003,225000,23
1489,3,2.0,1940,139500,86
1489,3,2.0,2006,232600,20
2084,2,2.0,2007,385000,19
784,2,1.0,1924,109500,102
1434,3,2.0,2001,189000,25
