sqft,bedrooms,bathrooms,age,price
2520,4,2.5,31,290000
987,2,1.5,56,106000
912,3,1.0,59,125000
1555,2,2.0,21,192500
1194,3,1.0,67,148000
987,2,1.5,54,94500
894,3,1.0,50,128200
1960,4,2.5,24,216500
987,2,1.5,55,89500
1414,3,2.0,22,185500
1744,3,2.5,33,194500
1694,3,2.0,19,318000
1487,3,1.5,81,113000
1566,3,2.0,18,262500
866,2,1.0,81,110500
1440,3,1.0,126,79000
1217,3,1.5,46,120000
2110,3,2.5,32,205000
1872,3,2.0,38,241500
1928,4,2.0,116,137000
1375,2,1.0,72,140000
1668,3,2.5,23,180000
2144,4,2.0,68,277000
1306,3,1.0,86,76500
1625,2,2.0,20,235000
1640,3,2.5,22,173000
1302,3,2.0,62,158000
1314,3,1.0,69,145000
2291,4,2.5,27,230000
1728,3,2.5,23,207500
1604,3,2.5,20,220000
1792,3,2.5,25,231500
882,2,1.0,70,97000
1382,3,1.0,64,176000
2574,3,2.5,19,276000
1212,3,1.0,49,151000
1316,3,1.0,97,130000
764,2,1.0,101,73000
1422,3,2.0,45,175500
1511,3,2.5,29,185000
2192,4,2.5,87,179500
778,2,1.0,86,120500
1113,3,1.5,50,148000
1939,3,2.5,20,266000
1363,2,1.0,72,241500
2270,4,2.5,27,290000
1632,3,2.0,68,139000
816,2,1.0,44,124500
1548,3,2.5,101,205000
1560,3,2.0,23,201000
864,2,1.0,75,141000
2022,4,2.5,49,192000
1982,3,2.5,37,228500
1262,2,2.0,20,185000
1314,2,2.0,19,207500
1468,3,2.0,18,244600
1575,2,2.0,34,179200
1250,2,2.5,20,164700
1734,3,1.5,64,159000
858,3,1.0,55,88000
900,3,1.0,59,122000
1396,3,1.0,111,153575
1919,3,2.5,20,233230
1716,3,1.5,77,131000
2263,3,2.5,49,235000
1644,3,1.0,73,167000
1003,3,1.0,42,142500
1558,4,1.5,76,152000
1950,3,2.5,29,239000
1743,3,2.0,58,175000
1152,3,1.0,76,158500
1336,2,1.0,73,157000
2452,4,2.5,28,267000
1541,3,2.0,25,205000
894,3,1.0,54,149900
2000,3,2.0,22,305900
2243,4,2.5,36,225000
1406,3,1.0,106,89500
861,1,1.0,86,82500
1501,3,2.5,33,165600
972,2,1.0,78,132000
1118,3,1.0,87,119900
1641,3,1.5,101,178000
1432,3,2.5,22,188500
2353,4,2.5,46,260000
1959,3,2.5,20,270000
2646,4,2.5,33,260000
1472,3,2.0,46,187500
2730,4,2.5,40,301000
1163,3,1.0,71,126175
803,2,1.0,85,87000
1719,1,1.5,33,324000
1383,3,1.5,66,145250
1192,3,1.0,106,78000
1056,3,1.0,68,139000
1629,3,2.0,23,284000
1358,2,2.0,22,207000
1638,3,2.5,28,192000
1786,3,2.0,61,228950
1536,3,2.0,24,214000
1621,3,2.0,42,202500
1215,3,1.0,68,155000
1908,4,2.5,24,202900
841,2,1.0,76,82000
1040,2,2.0,77,87500
1684,2,2.0,21,266000
1112,3,1.5,50,85000
1577,3,1.0,87,140200
958,2,1.0,66,151500
1478,3,2.0,66,157500
1626,2,2.5,23,154000
1869,2,2.0,19,318061
1453,2,1.5,40,190000
1111,3,1.0,85,95000
720,2,1.0,98,105900
1595,2,1.0,86,140000
1200,3,2.0,31,177500
1167,3,2.0,34,173000
1142,3,1.5,50,134000
1352,3,1.0,68,130000
1924,3,2.5,28,280000
912,2,1.0,48,156000
1505,3,1.0,86,145000
1922,4,3.0,23,198500
987,2,1.5,54,118000
1574,3,2.5,50,190000
1344,3,1.0,106,147000
1394,3,1.5,63,159000
1431,3,1.0,64,165000
1268,2,1.0,72,132000
1287,3,1.0,67,162000
1664,3,2.5,26,172400
1588,4,2.0,67,134432
752,2,1.0,42,125000
1319,3,1.0,73,123000
1928,4,2.5,23,219500
904,1,0.5,104,61000
914,2,1.0,30,148000
2466,4,3.0,22,340000
1800,3,2.5,26,179000
1691,3,2.0,102,127000
1301,2,2.0,20,187750
1797,3,2.5,20,213500
784,2,1.0,98,76000
1953,3,2.5,34,240000
1269,2,2.0,22,192000
1125,3,1.0,50,125000
1479,3,2.0,27,191000
1367,4,1.0,126,119000
1961,3,2.5,25,215000
882,3,1.0,67,106500
788,2,1.0,85,100000
1034,2,1.0,86,109000
1144,3,1.0,70,129000
894,2,1.0,54,123000
1812,4,2.0,64,169500
1077,2,1.0,106,67000
1550,2,2.0,20,241000
1288,1,1.5,30,245500
1310,3,2.0,21,164990
672,2,1.0,86,108000
2263,4,2.5,28,258000
1572,3,2.5,31,168000
1620,3,2.0,50,150000
1639,3,1.0,90,115000
1680,4,2.0,111,177000
2172,3,2.5,20,280000
2078,3,2.5,19,339750
1276,3,1.0,68,60000
1056,3,1.0,71,145000
1478,2,2.5,17,222000
1028,2,1.0,99,115000
2097,3,2.5,33,228000
1340,3,2.0,19,181134
1400,3,1.5,48,149500
2624,4,2.5,108,239000
1134,3,1.5,86,126000
1056,3,1.0,58,142000
1344,2,2.0,29,206300
1602,3,2.0,49,215000
988,2,1.0,72,113000
2630,4,2.5,28,315000
1196,2,1.0,70,139000
1389,3,1.5,80,135000
1644,2,2.0,37,275000
907,3,1.0,69,109008
1208,2,2.0,19,195400
1412,3,2.0,38,175000
987,2,1.5,55,85400
1198,4,1.0,106,79900
1365,2,1.5,55,122500
1604,3,2.5,29,181000
630,1,1.0,54,81000
1661,3,2.5,30,212000
1118,2,1.0,106,116000
904,2,1.0,100,119000
694,2,1.0,113,90350
1196,3,1.0,106,110000
1440,4,2.0,71,118000
1573,3,2.0,96,162900
1258,2,2.0,20,172500
1908,4,2.5,32,210000
1689,3,1.0,70,127500
1888,2,2.5,60,190000
1886,4,2.5,28,199900
1376,3,2.0,89,119500
1183,2,1.5,78,120000
813,2,1.0,96,110000
1533,2,2.0,51,280000
1756,3,2.5,30,204000
1590,3,2.5,18,210000
1728,4,2.0,50,188000
1242,3,1.5,53,175500
1344,4,1.0,110,98000
1663,2,1.0,72,256000
1666,3,1.0,101,161000
1203,3,1.0,76,110000
1935,3,2.5,17,263435
1135,3,1.0,90,155000
864,3,1.0,61,62383
1660,3,1.5,92,188700
1040,3,2.0,48,124000
1414,2,2.0,22,178740
1277,2,1.0,56,167000
1644,3,1.5,84,146500
1634,3,2.0,20,250000
1710,3,2.5,33,187000
1502,1,1.5,41,212000
1969,3,2.5,49,190000
1072,2,1.0,21,148000
1652,2,2.0,26,251000
970,2,1.0,63,132500
1493,3,2.0,29,208900
1718,3,2.0,19,297000
1131,2,1.0,89,89471
1850,3,2.0,22,326000
1826,4,1.5,111,155000
1216,2,2.0,28,164000
999,3,1.0,64,132500
1113,3,1.0,76,147000
1073,3,1.5,61,156000
1484,3,2.0,55,175000
2414,3,2.0,126,160000
630,1,1.0,56,86000
1304,3,1.5,50,115000
1578,3,1.0,85,133000
1456,3,2.5,20,172785
1269,3,1.5,66,155000
886,2,1.0,88,91300
720,2,1.0,106,34900
1820,4,2.0,101,184000
899,3,1.0,59,130000
912,2,1.0,68,120000
1218,3,1.5,53,113000
1768,3,2.5,21,226700
1214,2,1.0,61,140000
1801,1,2.0,67,289000
1322,3,2.5,52,147000
1960,4,2.0,74,124500
1911,3,2.5,33,215000
1218,2,2.0,17,208300
1378,3,2.0,98,161000
1041,3,1.0,67,124500
1363,2,1.0,75,164900
1368,2,2.0,21,202665
864,3,1.0,68,129900
1080,3,1.5,43,134000
789,2,1.0,100,96500
2119,3,2.5,54,158000
2344,3,2.5,30,265000
1796,3,2.5,28,211000
2080,3,1.5,100,234000
1294,3,2.0,126,106250
1244,3,1.5,69,150000
1664,3,2.0,79,159000
2398,3,2.5,30,315750
1266,3,2.0,21,176000
928,2,1.0,70,132000
605,2,1.0,106,86000
2515,4,3.0,69,200624
1509,3,2.0,38,175000
1362,3,2.0,106,128000
827,2,1.0,71,107500
334,1,1.0,80,39300
1414,3,2.5,22,178000
1347,3,1.0,116,107500
1724,3,2.5,28,188000
864,3,1.0,54,111250
1159,3,1.5,58,158000
1601,3,2.0,25,272000
1838,2,2.0,20,315000
2285,4,2.5,26,248000
1680,3,2.0,28,213250
767,1,1.0,28,133000
1496,3,2.5,20,179665
2183,4,2.5,38,229000
1635,3,1.5,103,210000
768,2,1.0,56,129500
825,2,1.0,71,125000
2094,4,2.5,23,263000
1069,2,2.0,49,140000
928,3,1.0,69,112500
1717,3,2.0,20,255500
1126,2,2.0,77,108000
2046,3,2.5,23,284000
1048,2,1.0,104,113000
1092,2,1.0,69,141000
1336,3,1.5,106,108000
1446,3,2.5,30,175000
1557,2,2.0,23,234000
1392,3,1.5,69,121500
1389,2,1.0,52,170000
996,3,1.0,86,108000
1674,4,2.0,108,185000
2295,4,2.5,34,268000
1647,4,1.5,111,128000
2504,4,2.5,21,325000
1535,3,2.0,22,214000
2132,1,1.5,43,316600
943,2,1.0,47,135960
864,2,1.0,67,120000
1692,3,2.5,17,224500
1430,3,2.5,26,170000
1109,3,1.0,55,139000
1216,2,1.0,79,118500
1477,3,2.0,98,145000
1320,3,1.0,60,164500
1392,2,2.0,19,146000
1795,4,2.0,72,131500
1429,3,1.0,66,181900
2042,3,2.5,18,253293
816,3,1.0,36,118500
1573,3,1.0,91,133000
838,2,1.0,108,130000
860,2,1.0,44,137000
1473,1,1.0,58,143000
935,2,1.0,96,79500
1582,3,2.5,22,185900
816,2,1.0,44,138000
848,1,1.0,23,140000
924,3,1.0,51,110000
1826,3,2.0,21,319000
1368,3,1.0,116,114504
1402,2,1.0,20,194201
1647,3,2.0,49,217500
1556,3,2.5,46,151000
1904,3,2.5,21,275000
1375,3,1.5,89,141000
1915,3,2.5,34,220000
1200,2,2.5,22,151000
1494,3,2.0,24,221000
1986,3,2.5,61,205000
1040,3,1.0,30,152000
2008,3,3.0,78,225000
1029,3,1.0,65,118500
2153,3,2.5,26,313000
1032,3,2.0,48,148000
1872,3,2.5,25,261500
1120,3,1.0,19,147000
630,1,1.0,54,75500
1054,3,1.0,63,137500
1509,3,2.5,24,183200
832,2,1.0,72,105500
1828,3,2.0,19,314813
2262,4,2.5,23,305000
864,2,1.0,112,67000
2614,4,2.5,52,240000
980,3,1.0,49,135000
1512,2,2.5,26,168500
1790,4,2.0,54,165150
1116,3,1.5,64,160000
1422,3,1.0,66,139900
1520,3,1.0,71,153000
1350,3,1.5,62,168500
1554,2,2.0,20,209500
1411,3,2.0,49,82500
1056,3,1.0,72,139400
800,1,1.0,90,60000
1387,3,2.0,72,93000
796,2,1.0,116,85000
1567,1,2.0,20,264561
1518,1,1.5,23,274000
1929,3,2.5,25,226000
1620,4,2.5,57,152000
981,3,1.5,55,143250
1048,3,1.0,76,98300
1094,3,1.0,73,155000
1839,4,1.5,60,155000
630,1,1.0,56,84500
1665,3,2.5,19,205950
1510,4,1.0,86,108000
1716,2,2.5,30,191000
1469,3,1.0,120,135000
1092,3,1.5,55,88000
1053,3,1.5,67,145500
1502,3,1.5,95,149000
1458,3,1.0,78,97500
1486,3,1.0,62,167000
1935,3,2.5,50,197900
1392,2,1.0,58,110000
1181,3,2.0,54,137500
1936,3,2.5,26,230500
2380,3,2.5,61,129000
1679,3,2.0,32,193500
1437,3,1.5,70,168000
1180,2,1.0,104,137500
1476,3,2.5,21,173500
1369,3,2.0,101,103600
1208,3,1.5,49,165000
1839,3,2.0,69,257500
1136,3,1.0,61,140000
1441,3,2.5,48,148500
1774,4,2.0,126,87000
792,2,1.0,102,109500
988,3,1.0,65,128500
923,2,2.0,46,143000
1520,3,1.0,94,159434
1291,2,1.0,30,173000
1668,3,2.0,24,285000
1839,4,2.5,28,221000
2090,3,2.0,42,207500
1761,3,3.0,19,227875
1102,2,2.5,22,148800
1362,2,2.0,21,194700
848,1,1.0,22,141000
2519,4,2.5,37,335000
1073,2,1.0,105,108480
1539,3,1.5,90,141500
1137,2,2.0,39,176000
616,2,1.0,105,89000
1148,2,1.0,74,123500
894,3,1.0,61,138500
1391,2,2.0,22,196000
1800,3,2.0,24,312500
1164,3,1.5,57,140000
1812,4,2.0,126,140000
1484,3,2.0,22,213000
1092,3,2.0,96,55000
1824,2,2.0,55,302000
1324,2,2.0,20,254000
1456,3,2.5,19,179540
904,3,1.0,60,109900
729,2,1.0,91,52000
1178,2,1.0,126,102776
1228,2,2.0,38,189000
960,3,1.0,56,129000
1479,3,2.5,50,130500
1350,3,2.0,52,165000
2554,3,1.5,136,159500
1178,3,1.5,53,157000
971,3,1.5,57,128500
1742,2,2.0,41,275000
848,1,1.0,22,143000
864,3,1.0,56,124500
1470,4,2.0,72,135000
1698,3,2.0,19,320000
864,3,1.0,56,120500
1680,3,2.0,38,222000
1232,2,2.0,19,194500
1776,4,2.0,68,110000
1208,2,1.0,101,103000
1616,2,2.0,31,236500
1146,3,2.0,23,187500
2031,3,2.5,28,222500
1144,3,1.0,65,131400
948,3,1.0,58,108000
1768,2,1.5,112,163000
1040,2,2.0,76,93500
1801,3,2.5,21,239900
1200,3,3.0,39,179000
1728,3,2.5,22,190000
1432,2,2.0,116,132000
912,3,1.0,65,142000
1349,3,2.0,26,179000
1464,3,2.0,63,175000
1337,2,2.0,33,180000
2715,4,3.5,50,299800
2256,4,2.5,26,236000
1720,3,2.0,30,260400
1529,4,2.0,81,98000
1140,3,1.0,116,96500
1320,3,2.5,23,162000
1494,3,2.0,29,217000
2098,3,2.5,21,275500
1026,3,1.0,57,156000
1471,3,2.5,27,172500
1768,3,2.5,19,212000
1386,3,2.5,48,158900
1501,3,2.5,27,179400
2531,4,2.5,31,290000
864,2,1.0,67,127500
1301,2,1.0,102,100000
1547,3,2.5,17,215200
2365,3,2.5,27,337000
1494,2,1.5,31,270000
1506,2,2.0,18,264132
1714,3,2.5,38,196500
1750,4,2.0,86,160000
1836,3,2.0,22,216837
858,2,1.0,44,134900
1220,2,1.0,75,102000
1117,3,1.0,50,107000
912,2,1.0,68,114500
1204,2,2.0,28,162000
1614,3,2.0,21,221500
894,3,1.0,52,142500
2020,4,2.0,49,144000
1004,2,1.0,49,135000
1253,3,2.0,31,176000
1603,3,2.5,34,175900
1430,3,2.0,25,187100
1110,1,1.0,48,165500
1484,3,2.0,112,128000
1342,3,2.0,59,161500
1652,4,2.0,111,139000
2084,4,2.5,22,233000
901,2,1.0,72,107900
1145,2,2.0,21,160200
1062,3,1.0,50,146800
2013,3,2.5,30,269790
1496,3,2.0,19,225000
1895,3,2.5,32,194500
1564,3,2.5,46,171000
1285,3,1.5,49,143500
773,2,1.0,73,110000
1768,3,1.5,89,175000
1688,4,2.5,29,200000
1196,2,1.0,110,109900
1456,3,2.5,21,189000
1128,2,1.0,72,118000
1428,3,2.0,18,227680
980,3,2.0,59,135500
1576,3,1.5,103,223500
1086,3,1.0,60,159950
2138,2,2.0,128,106000
1309,3,1.5,52,181000
848,1,1.0,22,144500
1044,2,1.0,74,55993
1442,4,1.5,68,157900
1250,3,1.5,108,116000
1661,3,2.0,28,224900
1008,2,1.0,72,137000
1689,3,2.0,24,271000
1052,3,1.0,55,155000
1358,2,2.0,17,224000
1640,3,2.5,23,183000
936,2,1.0,73,93000
1733,3,2.5,23,225000
1489,3,2.0,86,139500
1489,3,2.0,20,232600
784,2,1.0,102,109500
1434,3,2.0,25,189000
2126,3,2.5,59,185000
1223,2,2.5,21,147400
1392,3,1.5,69,166000
1200,2,2.5,21,151000
1829,3,2.5,23,237000
1516,3,1.5,62,167000
1144,3,1.0,65,139950
1067,2,2.0,76,128000
1559,2,1.0,78,153500
987,2,1.5,53,100000
1099,3,1.5,31,144000
1200,3,1.0,80,130500
1482,4,2.0,101,140000
1539,3,2.0,122,157500
1165,3,1.5,60,174900
1416,4,1.5,111,153900
1701,3,2.0,51,171000
1775,3,2.5,33,213000
864,3,1.0,54,133500
1855,3,2.5,50,187000
848,1,1.0,23,131500
1456,2,2.0,23,215000
1646,4,2.0,85,164000
1445,3,1.5,62,158000
1779,3,1.5,71,170000
1040,3,1.5,64,127000
1026,3,1.0,48,147000
1481,3,2.5,32,174000
1370,3,2.0,50,152000
2654,4,2.5,58,250000
1426,3,1.5,108,189950
1039,3,1.5,61,131500
1097,3,2.0,42,152000
1148,3,1.0,67,132500
1372,3,2.0,19,250580
1002,3,1.0,56,148500
1646,3,2.0,20,248900
1120,3,1.5,65,129000
2320,2,2.0,78,169000
1949,3,2.5,33,236000
894,2,1.0,64,109500
1682,3,2.5,28,200500
910,3,1.0,73,116000
1268,3,1.0,77,133000
1131,3,1.5,85,66500
2610,4,2.5,19,303477
1040,3,1.0,63,132250
1155,3,1.0,65,148000
864,3,1.0,48,136500
1090,2,1.5,21,157000
1717,3,2.5,36,187500
1593,3,2.5,34,178000
892,3,1.0,59,100000
1709,2,2.0,27,328900
1712,4,2.0,67,145000
1393,3,1.5,71,135500
2217,4,2.0,56,268000
1505,2,1.0,73,149500
924,3,1.0,77,122900
1683,3,2.5,48,172500
1068,3,1.0,63,154500
1383,3,1.0,72,165000
1535,4,2.0,47,118858
1796,4,1.5,63,140000
951,2,1.0,90,106500
1236,3,1.0,65,135000
858,2,1.0,55,110000
1306,2,1.0,69,153000
1509,3,2.5,23,180000
1670,3,2.0,20,240000
902,3,1.0,59,125500
1063,3,1.0,72,128000
1636,3,2.0,20,255000
2057,3,1.5,90,250000
902,2,1.0,43,131000
1484,3,2.5,21,174000
1268,3,1.5,49,143500
1015,3,1.0,101,88000
2002,4,2.0,77,145000
1224,2,2.5,17,173733
1092,3,1.5,56,75000
1229,3,1.0,70,135000
2127,4,2.5,35,238000
1414,3,1.0,68,176500
1721,3,2.5,32,201000
2200,4,3.0,126,145900
1316,3,2.0,21,169990
1617,2,2.0,33,193000
1686,3,2.0,46,207500
1126,3,2.0,49,175000
2374,4,2.5,23,285000
1978,4,2.5,58,176000
1788,3,2.0,25,236500
2236,4,2.5,29,222000
1466,3,2.0,19,201000
925,2,1.0,61,117500
1905,3,2.0,20,320000
1500,3,2.0,22,190000
2069,4,2.0,66,242000
747,1,1.0,100,79900
1200,2,2.0,23,184900
1971,3,2.5,21,253000
1962,3,2.5,20,239799
2403,4,2.0,86,244400
1728,4,2.0,50,150900
2060,3,2.5,27,214000
1440,4,2.0,49,150000
1632,4,2.0,59,143000
1344,3,1.0,68,137500
1869,2,1.0,136,124900
1144,3,1.0,67,143000
1629,3,2.0,24,270000
1776,3,2.5,24,192500
1381,3,1.5,54,197500
864,3,1.0,76,129000
965,3,1.0,61,119900
768,2,1.0,54,133900
1968,4,2.5,57,172000
980,4,2.0,51,127500
1958,4,2.0,80,145000
1229,2,1.5,46,124000
1057,3,1.0,64,132000
1337,3,2.0,23,185000
1416,3,2.5,27,155000
858,2,1.0,68,116500
1548,3,2.5,50,155000
1800,2,2.0,19,239000
1894,4,2.5,24,214900
1484,3,2.5,21,178900
1308,2,1.5,86,160000
1098,3,1.0,71,135000
968,2,1.0,116,37900
1095,2,1.0,68,140000
1192,4,1.5,77,135000
1626,2,2.0,23,173000
918,2,2.0,47,99500
1428,3,2.0,19,182000
2019,3,1.0,116,167500
1382,3,2.5,26,165000
869,2,1.0,103,85500
1241,1,1.5,20,199900
894,3,1.0,72,110000
1121,3,1.0,63,139000
999,3,1.0,65,178400
2612,4,2.5,28,336000
1266,2,2.0,19,159895
2290,4,2.5,24,255900
1734,4,2.0,49,126000
1164,3,1.0,76,125000
1635,2,1.0,116,117000
2030,4,2.5,50,195000
1576,3,2.5,20,197000
1851,3,2.5,62,187000
1500,3,2.5,21,173900
1718,3,2.0,20,337500
1230,3,1.5,80,121600
1050,3,1.0,65,136500
1442,2,2.0,56,185000
1077,3,1.0,104,91000
1208,2,2.0,20,206000
944,2,1.0,74,82000
691,2,1.0,106,86000
1574,3,2.0,20,232000
1680,4,2.0,50,136905
1504,1,2.0,21,181000
985,3,2.0,49,149900
1657,3,2.0,56,163500
1092,3,1.5,56,88000
1710,3,2.0,22,240000
1522,4,2.0,100,102000
1271,4,2.0,78,135000
1664,4,2.0,61,100000
1502,3,1.5,103,165000
1022,2,1.0,116,85000
1082,2,1.0,78,119200
1665,3,2.5,25,227000
1504,3,2.0,30,203000
1360,1,1.0,42,187500
1472,3,2.5,35,160000
1506,2,2.0,21,213490
1132,2,1.5,21,176000
1220,2,2.0,20,194000
1248,2,1.0,96,87000
1504,2,2.0,21,191000
882,3,1.0,54,112500
1264,3,1.0,66,167500
1646,3,2.0,19,293077
1376,3,1.0,85,105000
1218,3,1.5,54,118000
1654,3,2.0,24,230000
954,2,1.0,88,119750
845,3,1.0,69,84000
1620,2,2.0,19,315500
2263,3,2.5,25,287000
1344,3,1.5,56,97000
630,1,1.0,56,80000
1803,3,2.0,69,155000
1632,4,1.5,60,173000
1306,1,2.0,21,196000
2329,4,2.5,36,262280
2524,4,2.5,45,278000
1733,4,2.0,71,139600
990,3,1.0,32,145000
1771,3,1.0,66,115000
930,2,1.0,80,84900
1302,3,2.0,19,176485
1316,3,2.0,19,200141
1977,4,1.5,62,165000
1526,4,1.0,69,144500
1989,3,2.5,24,255000
1523,3,2.0,50,180000
1364,2,2.0,21,185850
1850,3,2.5,32,248000
2184,3,2.5,18,335000
1991,3,1.5,94,220000
1338,2,2.0,25,213500
894,2,1.0,91,81000
1103,2,1.0,101,110500
1154,3,1.5,60,154000
2260,3,2.5,30,328000
1571,3,2.5,33,178000
1611,4,1.5,62,167900
893,2,1.0,77,135000
1048,3,1.0,70,135000
1556,4,1.5,58,154000
1456,4,1.0,78,91500
1426,3,1.5,49,159500
1240,2,2.0,20,194000
1740,3,1.5,86,219500
1466,3,2.0,90,170000
1096,3,1.0,57,138800
848,1,1.0,22,155900
990,3,1.0,32,126000
1258,3,2.0,55,145000
1040,3,1.5,63,133000
1459,3,2.0,24,192000
1251,3,1.0,62,160000
1498,3,2.5,31,187500
996,2,1.0,34,147000
1092,3,1.5,53,83500
1953,3,2.5,21,252000
1709,3,2.0,22,137500
1247,1,1.5,21,197000
1040,2,2.0,76,92900
1252,2,2.5,27,160000
1694,4,2.0,101,136500
1200,1,1.5,61,146000
